run,total_flights,newly_infected,total_infected
490,117,6,94
491,55,0,54
492,70,2,66
493,153,9,114
494,209,15,135
495,202,14,129
496,57,0,55
497,217,15,138
498,179,12,122
499,143,8,100
500,108,5,86
501,58,0,59
502,58,0,54
503,86,3,71
504,280,21,144
505,266,19,148
506,59,0,53
507,145,8,103
508,60,0,58
509,58,0,53
510,248,18,148
511,59,0,57
512,57,0,55
513,56,0,56
514,58,0,57
515,114,5,91
516,57,0,54
517,81,2,70
518,56,0,52
519,58,0,48
520,58,0,59
521,54,0,53
522,247,18,149
523,55,0,54
524,55,0,54
525,268,20,141
526,54,0,59
527,99,5,87
528,55,0,53
529,130,7,97
530,57,0,52
531,261,19,145
532,55,0,53
533,59,0,61
534,53,0,56
535,192,13,125
536,57,0,60
537,53,0,56
538,57,0,57
539,54,0,52
540,58,0,53
541,59,0,59
542,241,18,130
543,59,0,57
544,55,0,53
545,60,0,56
546,54,0,54
547,54,0,56
548,181,12,122
549,59,0,53
550,54,0,55
551,55,0,54
552,235,17,133
553,58,0,60
554,90,4,82
555,55,0,52
556,58,0,56
557,105,5,86
558,59,0,58
559,98,4,82
560,144,8,101
561,57,0,50
562,228,17,134
563,145,8,109
564,59,0,57
565,60,0,56
566,55,0,52
567,56,0,53
568,55,0,54
569,111,5,92
570,55,0,52
571,273,21,147
572,59,0,55
573,175,11,121
574,58,0,57
575,54,0,54
576,152,9,112
577,53,0,53
578,58,0,58
579,285,23,147
580,53,0,53
581,223,16,135
582,198,14,124
583,56,0,52
584,55,0,55
585,309,24,150
586,59,0,57
587,57,0,56
588,246,18,143
589,223,16,138
590,219,16,140
591,57,0,56
592,84,3,73
593,162,10,111
594,57,0,54
595,158,9,115
596,56,0,59
597,282,21,152
598,227,16,135
599,58,0,51
600,106,5,85
601,55,0,61
602,55,0,55
603,83,3,67
604,54,0,52
605,108,5,81
606,54,0,51
607,57,0,58
608,56,0,53
609,140,8,109
610,57,0,58
611,93,4,79
612,253,19,137
613,93,4,77
614,56,0,57
615,73,2,68
616,167,11,109
617,87,3,76
618,57,0,59
619,201,14,122
620,56,0,57
621,58,0,57
622,192,13,120
623,182,12,122
624,102,4,85
625,60,0,61
626,57,0,56
627,59,0,60
628,58,0,57
629,56,0,55
630,208,14,129
631,60,0,59
632,257,19,150
633,245,17,141
634,99,5,81
635,53,0,53
636,57,0,57
637,97,4,78
638,163,10,109
639,56,0,55
640,98,4,79
641,58,0,57
642,209,15,125
643,216,15,132
644,99,4,81
645,87,3,78
646,58,0,56
647,152,9,105
648,93,4,76
649,105,5,78
650,60,0,60
651,171,11,122
652,56,0,56
653,181,12,115
654,54,0,51
655,278,21,149
656,273,21,144
657,54,0,48
658,57,0,56
659,56,0,54
660,54,0,51
661,169,11,120
662,252,19,140
663,58,0,61
664,83,3,77
665,84,3,73
666,60,0,54
667,111,5,88
668,55,0,53
669,58,0,56
670,94,4,81
671,258,19,149
672,154,9,111
673,58,0,54
674,103,5,86
675,235,17,134
676,55,0,50
677,58,0,53
678,188,12,116
679,99,4,84
680,59,0,56
681,184,12,119
682,55,0,52
683,94,4,74
684,56,0,56
685,208,15,127
686,55,0,55
687,210,14,132
688,281,22,143
689,56,0,51
690,54,0,53
691,101,4,87
692,56,0,52
693,56,0,52
694,80,3,72
695,57,0,51
696,54,0,52
697,56,0,57
698,139,8,109
699,223,16,131
700,76,2,73
701,127,7,98
702,55,0,53
703,54,0,51
704,58,0,55
705,56,0,53
706,92,4,85
707,272,20,146
708,255,19,146
709,251,18,137
710,54,0,55
711,53,0,46
712,85,3,74
713,56,0,50
714,58,0,55
715,56,0,58
716,57,0,55
717,147,9,105
718,216,16,140
719,261,20,145
720,56,0,58
721,57,0,51
722,57,0,53
723,58,0,53
724,55,0,56
725,53,0,54
726,53,0,52
727,289,21,141
728,58,0,56
729,99,5,80
730,192,13,125
731,57,0,57
732,59,0,57
733,217,15,129
734,56,0,58
735,151,9,110
736,56,0,51
737,271,21,147
738,253,20,134
739,57,0,51
740,59,0,56
741,58,0,56
742,57,0,60
743,58,0,58
744,57,0,51
745,266,20,143
746,90,3,74
747,58,0,56
748,170,11,119
749,162,10,108
750,126,6,91
751,81,3,67
752,54,0,56
753,240,19,137
754,103,5,89
755,56,0,54
756,55,0,53
757,57,0,57
758,179,12,120
759,72,2,69
760,54,0,54
761,94,4,84
762,224,16,130
763,55,0,53
764,297,23,148
765,57,0,51
766,56,0,57
767,55,0,55
768,61,0,56
769,54,0,53
770,145,8,108
771,152,9,112
772,234,17,142
773,227,16,134
774,55,0,52
775,257,19,144
776,254,20,134
777,54,0,57
778,56,0,54
779,276,21,148
780,56,0,56
781,213,16,133
782,104,5,85
783,96,4,85
784,59,0,58
785,55,0,53
786,275,21,147
787,137,8,97
788,71,2,68
789,53,0,48
790,58,0,61
791,142,8,104
792,57,0,57
793,56,0,52
794,102,5,87
795,57,0,53
796,101,5,85
797,56,0,54
798,288,22,143
799,56,0,55
800,252,20,140
801,58,0,58
802,95,4,86
803,58,0,58
804,59,0,55
805,244,18,145
806,137,8,89
807,191,13,130
808,55,0,55
809,213,15,123
810,202,14,132
811,291,22,145
812,215,16,132
813,142,8,104
814,54,0,52
815,56,0,54
816,105,5,95
817,57,0,56
818,55,0,58
819,92,4,76
820,54,0,57
821,56,0,59
822,55,0,50
823,59,0,57
824,56,0,55
825,56,0,56
826,149,9,105
827,55,0,52
828,57,0,55
829,56,0,52
830,55,0,52
831,236,18,141
832,55,0,58
833,55,0,49
834,56,0,56
835,186,12,124
836,136,8,100
837,81,3,72
838,102,5,78
839,231,18,134
840,58,0,54
841,82,3,80
842,233,17,137
843,84,3,75
844,62,0,59
845,53,0,53
846,241,18,131
847,260,19,149
848,252,19,135
849,59,0,59
850,56,0,58
851,56,0,57
852,191,13,122
853,58,0,59
854,56,0,54
855,58,0,55
856,249,19,140
857,211,15,133
858,57,0,57
859,59,0,55
860,54,0,53
861,56,0,57
862,299,23,140
863,53,0,51
864,207,14,133
865,55,0,55
866,57,0,55
867,252,18,137
868,55,0,57
869,57,0,54
870,197,14,127
871,57,0,56
872,56,0,58
873,54,0,53
874,84,3,70
875,57,0,56
876,57,0,49
877,53,0,50
878,57,0,54
879,56,0,51
880,158,10,114
881,59,0,55
882,82,3,75
883,56,0,54
884,58,0,56
885,55,0,49
886,57,0,50
887,58,0,53
888,54,0,54
889,58,0,57
890,53,0,52
891,257,19,142
892,102,5,87
893,56,0,56
894,224,16,136
895,222,15,131
896,59,0,56
897,61,0,55
898,54,0,47
899,53,0,52
900,58,0,51
901,57,0,55
902,57,0,58
903,60,0,60
904,57,0,62
905,56,0,58
906,56,0,55
907,59,0,56
908,57,0,54
909,56,0,53
910,57,0,60
911,53,0,50
912,57,0,57
913,83,3,72
914,97,4,84
915,101,4,82
916,57,0,61
917,186,12,122
918,54,0,52
919,54,0,55
920,55,0,56
921,60,0,58
922,227,16,138
923,56,0,53
924,57,0,53
925,269,21,138
926,56,0,60
927,56,0,57
928,58,0,53
929,55,0,51
930,57,0,59
931,57,0,55
932,61,0,60
933,59,0,58
934,220,16,127
935,56,0,58
936,55,0,54
937,60,0,53
938,150,9,110
939,57,0,56
940,59,0,58
941,58,0,56
942,55,0,51
943,52,0,48
944,57,0,57
945,56,0,56
946,60,0,58
947,82,3,79
948,84,3,71
949,58,0,58
950,58,0,52
951,59,0,57
952,197,13,126
953,55,0,52
954,237,18,136
955,55,0,53
956,57,0,51
957,55,0,57
958,56,0,58
959,226,16,133
960,102,4,83
961,55,0,55
962,54,0,55
963,58,0,60
964,58,0,52
965,256,19,137
966,57,0,58
967,129,7,101
968,205,14,126
969,57,0,50
970,106,5,86
971,94,4,78
972,58,0,50
973,54,0,51
974,255,19,139
975,58,0,58
976,55,0,56
977,92,4,82
978,109,5,86
979,57,0,55
980,56,0,50
981,246,18,138
982,57,0,53
983,56,0,52
984,80,2,73
985,57,0,56
986,56,0,54
987,55,0,52
988,260,19,137
989,54,0,54
990,55,0,54
991,58,0,58
992,57,0,51
993,55,0,55
994,243,18,142
995,106,5,83
996,224,16,136
997,232,17,132
998,267,20,147
999,55,0,52
1000,54,0,55
